idx;Id;Url;TipusOferta;TipusImmoble;Municipi;Provincia;Zona;PreuActual;DataOferta;Sup_m2;NumHabitacions;NumBanys;AnyConstruccio;Planta;Parking;Calefaccio;AC;Moblat;EficienciaEnergetica;ClasseEmissions;Jardi;Ascensor
50;i10636003564488;https://www.habitaclia.com/alquiler-casa_pareada-gran_casa_en_a_los_pies_vallcarca_penitents-barcelona-i10636003564488.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;casa;barcelona;barcelona;Vallcarca - Penitents;2350;26-04-2020;215;3;3;197;3;True;True;True;True;E;E;False;False
51;i3741003372436;https://www.habitaclia.com/alquiler-piso-con_vistas_a_casa_batllo_dreta_de_l_eixample-barcelona-i3741003372436.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Dreta de l´Eixample;5000;26-04-2020;180;3;3;;6;False;True;True;False;E;E;False;True
52;i3050003691313;https://www.habitaclia.com/alquiler-piso-con_vistas_pedralbes-barcelona-i3050003691313.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Pedralbes;2500;26-04-2020;181;4;3;1987;;True;True;True;True;F;E;False;False
53;i586003744578;https://www.habitaclia.com/alquiler-piso-sant_ramon_maternitat-barcelona-i586003744578.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Ramon - Maternitat;1550;26-04-2020;110;3;2;;4;True;True;True;True;G;F;False;True
54;i19295003773437;https://www.habitaclia.com/alquiler-piso-rambla_raval_raval-barcelona-i19295003773437.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Raval;800;26-04-2020;70;2;;1919;3;False;False;False;True;F;F;False;False
55;i2899003720767;https://www.habitaclia.com/alquiler-piso-junto_a_los_cines_sarria_ronda_general_mitre_40_tres_torres-barcelona-i2899003720767.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Tres Torres;2600;26-04-2020;135;4;3;;8;True;True;True;True;E;E;False;True
56;i8173001896040;https://www.habitaclia.com/alquiler-apartamento-estudio_sant_gervasio_paseo_sant_gervasi_67_sant_gervasi_bonanova-barcelona-i8173001896040.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Bonanova;780;26-04-2020;40;;;1972;3;False;True;True;False;G;G;False;True
57;i14157003773098;https://www.habitaclia.com/alquiler-piso-amueblado_y_equipado_calle_comte_borrell_45_sant_antoni-barcelona-i14157003773098.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Antoni;950;26-04-2020;50;2;;;;False;True;True;False;G;G;False;True
58;i1958003750877;https://www.habitaclia.com/alquiler-piso-bonanova_finca_joven_con_parking_sarria-barcelona-i1958003750877.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sarrià;1600;26-04-2020;80;2;2;;5;True;True;True;True;D;D;False;True
59;i8166003731820;https://www.habitaclia.com/alquiler-piso-apartamento_clasico_en_la_calle_banys_nous_gotic-barcelona-i8166003731820.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Gòtic;2100;26-04-2020;126;3;2;;;False;True;False;True;D;D;False;True
60;i14881003665720;https://www.habitaclia.com/alquiler-piso-en_la_calle_balmes_calle_balmes_68_dreta_de_l_eixample-barcelona-i14881003665720.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Dreta de l´Eixample;1800;26-04-2020;135;3;2;1970;2;False;True;True;True;D;D;False;True
61;i3507003775424;https://www.habitaclia.com/alquiler-piso-equipado_can_vidalet_can_vidalet-hospitalet_de_llobregat-i3507003775424.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;piso;hospitalet_de_llobregat;barcelona;Can Vidalet;800;26-04-2020;55;2;;;2;False;False;False;False;G;G;False;False
62;i5257003745342;https://www.habitaclia.com/alquiler-piso-centro_bcn_reformado_amueblado_ronda_universitat_16_dreta_de_l_eixample-barcelona-i5257003745342.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Dreta de l´Eixample;2100;26-04-2020;115;2;2;2018;1;False;True;True;False;G;F;False;True
63;i2662003751496;https://www.habitaclia.com/alquiler-piso-en_en_de_260_m2_pedralbes-barcelona-i2662003751496.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Pedralbes;4500;26-04-2020;260;4;4;;2;True;False;True;True;G;G;False;True
64;i11434003751279;https://www.habitaclia.com/alquiler-piso-reformado_a_estrenar_esquerra_alta_de_l_eixample-barcelona-i11434003751279.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Esquerra Alta de l´Eixample;1375;26-04-2020;72;3;;1972;2;False;True;True;True;F;E;False;True
65;i14090003700459;https://www.habitaclia.com/alquiler-piso-con_piscina_y_parking_calle_ramon_turro_40_vila_olimpica-barcelona-i14090003700459.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Vila Olímpica;2200;26-04-2020;120;4;2;2004;3;True;True;True;False;G;G;False;True
66;i2875003593450;https://www.habitaclia.com/alquiler-piso-a_estrenar_sant_gervasi_bonanova-barcelona-i2875003593450.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Bonanova;1850;26-04-2020;115;3;2;1966;1;False;True;True;True;E;E;False;False
67;i3097003750569;https://www.habitaclia.com/alquiler-piso-dreta_de_l_eixample-barcelona-i3097003750569.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Dreta de l´Eixample;2845;26-04-2020;230;;;;3;False;True;True;True;D;D;False;True
68;i2899003725902;https://www.habitaclia.com/alquiler-piso-luminosa_y_reformada_calle_ganduxer_5_sant_gervasi_galvany-barcelona-i2899003725902.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Galvany;2750;26-04-2020;157;3;3;;7;True;True;True;True;E;E;False;True
69;i4737003761033;https://www.habitaclia.com/alquiler-apartamento-piso_de_dos_habitaciones_sant_ramon_maternitat-barcelona-i4737003761033.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Ramon - Maternitat;1300;26-04-2020;75;2;;;;False;True;False;True;E;E;False;True
70;i310001859349;https://www.habitaclia.com/alquiler-piso-calle_joan_blanques_2_vila_de_gracia-barcelona-i310001859349.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Vila de Gràcia;1050;26-04-2020;70;3;;;3;False;False;False;True;G;G;False;False
71;i8166003731559;https://www.habitaclia.com/alquiler-atico-piso_con_terraza_en_paseo_de_gracia_dreta_de_l_eixample-barcelona-i8166003731559.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;atico;barcelona;barcelona;Dreta de l´Eixample;4500;26-04-2020;50;1;;;;False;True;True;False;C;C;False;True
72;i8166003733416;https://www.habitaclia.com/alquiler-atico-espectacular_triplex_con_piscina_y_terrazas_sant_gervasi_galvany-barcelona-i8166003733416.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;atico;barcelona;barcelona;Sant Gervasi - Galvany;8500;26-04-2020;336;5;6;1971;;True;False;True;True;E;E;False;True
73;i28366000000021;https://www.habitaclia.com/alquiler-estudio-en_en_el_raval_raval-barcelona-i28366000000021.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;otros;barcelona;barcelona;Raval;1150;26-04-2020;120;;;;;False;False;False;False;G;G;False;False
74;i5158003749867;https://www.habitaclia.com/alquiler-piso-alto_alegre_y_soleado_sant_gervasi_galvany-barcelona-i5158003749867.htm?pag=4&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Galvany;3500;26-04-2020;207;4;3;;5;True;True;True;True;G;G;False;True
75;i8166003732655;https://www.habitaclia.com/alquiler-piso-magnifico_loft_en_poblenou_centro_poblenou-barcelona-i8166003732655.htm?pag=5&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Poblenou;2400;26-04-2020;186;2;;1981;;False;True;True;True;C;C;False;True
76;i5329003776997;https://www.habitaclia.com/alquiler-piso-ideal_familias_la_verneda_la_pau-barcelona-i5329003776997.htm?pag=5&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;La Verneda - La Pau;899;26-04-2020;80;4;;;8;False;False;False;False;E;E;False;False
77;i3566003448159;https://www.habitaclia.com/alquiler-atico-con_ascensor_y_terraza_sarria-barcelona-i3566003448159.htm?pag=5&f=&geo=c&from=list&lo=55;Lloguer;atico;barcelona;barcelona;Sarrià;1750;26-04-2020;50;1;;2006;3;True;True;True;False;F;E;False;True
78;i21384003527822;https://www.habitaclia.com/alquiler-apartamento-piso_de_diseno_en_pleno_centro_d_st_pere_sta_caterina_el_born-barcelona-i21384003527822.htm?pag=5&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;St. Pere - Sta. Caterina - El Born;1050;26-04-2020;50;1;;;1;False;True;True;False;G;G;False;True
79;i4427003774822;https://www.habitaclia.com/alquiler-piso-amplio_y_reformado_esquerra_alta_de_l_eixample-barcelona-i4427003774822.htm?pag=5&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Esquerra Alta de l´Eixample;1050;26-04-2020;55;2;;1879;3;False;True;True;True;G;G;False;False
