"","Url","TipusImmoble","Zona","PreuInicial","Sup_m2","NumHabitacions","NumBanys","AnyConstruccio","Planta","Parking","Calefaccio","AC","Moblat","EficienciaEnergetica","ClasseEmissions","Jardi","Ascensor","PreuActual","HaEstatLlogat","PreuMetre2"
"40","https://www.habitaclia.com/alquiler-piso-de_3_habitaciones_dobles_esquerra_baixa_de_l_eixample-barcelona-i10419003752553.htm?pag=60&f=&geo=c&from=list&lo=55","piso","Esquerra Baixa de l´Eixample",1450,103,3,2,1980,1,FALSE,TRUE,TRUE,FALSE,"G","G",FALSE,TRUE,1400,FALSE,13.5922330097087
"41","https://www.habitaclia.com/alquiler-piso-de_4_habitaciones_calle_escorial_l_11_camp_d_en_grassot_gracia_n-barcelona-i10419003752629.htm?pag=28&f=&geo=c&from=list&lo=55","piso","Camp d´en Grassot - Gràcia N.",1600,100,4,2,1948,3,FALSE,TRUE,FALSE,FALSE,"G","G",FALSE,TRUE,1600,TRUE,16
"42","https://www.habitaclia.com/alquiler-piso-luminoso_subteniente_navarro_30_gotic-barcelona-i10419003752847.htm?pag=72&f=&geo=c&from=list&lo=55","piso","Gòtic",1050,80,1,2,1998,1,FALSE,TRUE,TRUE,FALSE,"G","G",FALSE,TRUE,1050,TRUE,13.125
"43","https://www.habitaclia.com/alquiler-piso-barceloneta-barcelona-i10419003753885.htm?pag=104&f=&geo=c&from=list&lo=55","piso","Barceloneta",725,40,1,2,1968,1,FALSE,FALSE,TRUE,FALSE,"G","G",FALSE,FALSE,725,FALSE,18.125
"44","https://www.habitaclia.com/alquiler-piso-de_3_habitaciones_dobles_calle_nou_de_sant_francesc_2_gotic-barcelona-i10419003755500.htm?pag=28&f=&geo=c&from=list&lo=55","piso","Gòtic",1600,120,3,3,2000,3,FALSE,TRUE,TRUE,FALSE,"G","G",FALSE,TRUE,1600,FALSE,13.3333333333333
"45","https://www.habitaclia.com/alquiler-piso-de_3_habitaciones_avenida_republica_argentina_52_vallcarca_penitents-barcelona-i10419003756055.htm?pag=32&f=&geo=c&from=list&lo=55","piso","Vallcarca - Penitents",1200,86,3,2,1966,3,FALSE,TRUE,FALSE,FALSE,"G","G",FALSE,TRUE,1200,FALSE,13.953488372093
"46","https://www.habitaclia.com/alquiler-apartamento-de_3_habitaciones_putget_farro-barcelona-i10419003756132.htm?pag=55&f=&geo=c&from=list&lo=55","piso","Putget - Farró",1200,86,3,2,1966,3,FALSE,TRUE,FALSE,FALSE,"G","G",FALSE,TRUE,1200,FALSE,13.953488372093
"47","https://www.habitaclia.com/alquiler-piso-luminosa_y_espaciosa_barceloneta-barcelona-i10419003757891.htm?pag=44&f=&geo=c&from=list&lo=55","piso","Barceloneta",750,51,1,2,1960,1,FALSE,TRUE,TRUE,FALSE,"G","G",FALSE,FALSE,750,FALSE,14.7058823529412
"48","https://www.habitaclia.com/alquiler-piso-de_3_habitaciones_camp_d_en_grassot_gracia_n-barcelona-i10419003759127.htm?pag=66&f=&geo=c&from=list&lo=55","piso","Camp d´en Grassot - Gràcia N.",1000,75,3,2,1960,6,FALSE,FALSE,FALSE,TRUE,"G","G",FALSE,TRUE,1000,TRUE,13.3333333333333
"49","https://www.habitaclia.com/alquiler-atico-con_terraza_sant_ramon_maternitat-barcelona-i10419003760068.htm?pag=47&f=&geo=c&from=list&lo=55","atico","Sant Ramon - Maternitat",1000,50,1,2,1945,9,FALSE,FALSE,TRUE,FALSE,"G","G",FALSE,TRUE,1000,TRUE,20
"50","https://www.habitaclia.com/alquiler-atico-con_terraza_avenida_madrid_130_sants-barcelona-i10419003761330.htm?pag=28&f=&geo=c&from=list&lo=55","atico","Sants",1000,50,1,2,1945,9,FALSE,FALSE,TRUE,FALSE,"G","G",FALSE,TRUE,1000,TRUE,20
"51","https://www.habitaclia.com/alquiler-piso-de_4_habitaciones_calle_numancia_84_les_corts-barcelona-i10419003761854.htm?pag=28&f=&geo=c&from=list&lo=55","piso","Les Corts",1250,91,4,2,1967,1,FALSE,FALSE,TRUE,FALSE,"G","G",FALSE,TRUE,1250,FALSE,13.7362637362637
"52","https://www.habitaclia.com/alquiler-duplex-de_3_habitaciones_sagrada_familia-barcelona-i10419003762346.htm?pag=133&f=&geo=c&from=list&lo=55","duplex","Sagrada Família",1450,130,3,2,2007,3,TRUE,TRUE,TRUE,TRUE,"G","G",FALSE,TRUE,1450,FALSE,11.1538461538462
"53","https://www.habitaclia.com/alquiler-piso-oportunidad_sarria_sarria-barcelona-i1042003751059.htm?pag=13&f=&geo=c&from=list&lo=55","piso","Sarrià",1350,81,1,2,1968,1,FALSE,FALSE,FALSE,FALSE,"G","G",FALSE,FALSE,1350,FALSE,16.6666666666667
